Molecule Name,Type,C-Number,Dynamic Or Kinematic,Class,SMILES,Experimental_40C_Viscosity,Experimental_100C_Viscosity
2-butyl-dodecan-1-ol,Alcohol,16,Dynamic,Base Oil,,15.5,2.2
2-ethyl-tetradecan-1-ol,Alcohol,16,Dynamic,Base Oil,,14.9,2.29
2-heptyl-nonan-1-ol,Alcohol,16,Dynamic,Base Oil,,15.72,2.17
2-hexyl-decan-1-ol,Alcohol,16,Dynamic,Base Oil,,15.85,2.18
2-pentyl-undecan-1-ol,Alcohol,16,Dynamic,Base Oil,,15.22,2.17
2-propyl-tridecan-1-ol,Alcohol,16,Dynamic,Base Oil,,14.07,2.16
undec-1-ene,Alkene,11,Dynamic,Base Oil,,0.78,0.41
5-butyl-non-4-ene,Alkene,13,Dynamic,Base Oil,,1.04,0.46
tridec-1-ene,Alkene,13,Dynamic,Base Oil,,1.17,0.55
"2,11-dimethyl-dodeca-1,11-diene",Alkene,14,Dynamic,Base Oil,,1.2,0.55
"2,2,3,5,5,6,6-heptamethyl-hept-3-ene",Alkene,14,Dynamic,Base Oil,,2.06,0.81
tetradec-1-ene,Alkene,14,Dynamic,Base Oil,,1.41,0.64
pentadec-1-ene,Alkene,15,Dynamic,Base Oil,,1.7,0.74
hexadec-1-ene,Alkene,16,Dynamic,Base Oil,,2.02,0.84
"3,12-diethyl-tetradeca-2,12-diene",Alkene,18,Dynamic,Base Oil,,2.52,1.09
2-methyl-heptadec-2-ene,Alkene,18,Dynamic,Base Oil,,2.34,0.87
octadec-1-ene,Alkene,18,Dynamic,Base Oil,,2.79,1.07
"1,1-diphenyl-hept-1-ene",Alkene,19,Dynamic,Base Oil,,8.42,1.81
nonadec-1-ene,Alkene,19,Dynamic,Base Oil,,3.26,1.21
eicos-1-ene,Alkene,20,Dynamic,Base Oil,,3.77,1.35
3-ethyl-octadec-2-ene,Alkene,20,Dynamic,Base Oil,,3.11,1.06
"2,19-dimethyl-eicosa-1,19-diene",Alkene,22,Dynamic,Base Oil,,2.37,0.85
4-propyl-nonadec-3-ene,Alkene,22,Dynamic,Base Oil,,4.72,1.52
5-butyl-eicos-4-ene,Alkene,24,Dynamic,Base Oil,,6.03,1.86
"1,7-dicyclopentyl-4-(3-cyclopentyl-propyl)-hept-3-ene",Alkene,25,Dynamic,Base Oil,,17,3.8
9-octyl-heptadec-8-ene,Alkene,25,Dynamic,Base Oil,,5.87,1.68
"2,2,4,10,12,12-hexamethyl-7-(3,5,5-trimethylhexyl)-tridec-6-ene",Alkene,28,Dynamic,Base Oil,,13.9,2.59
dipentylamine,Amine,10,Dynamic,Additive,,1.1,0.487
diphenylamine,Amine,12,Dynamic,Additive,,8.52,1.59
tributylamine,Amine,12,Dynamic,Additive,,0.99,0.47
methyl-diphenyl-amine,Amine,13,Dynamic,Additive,,3.84,1.369
diheptylamine,Amine,14,Dynamic,Base Oil,,2.215,0.88
triisopentylamine,Amine,15,Dynamic,Additive,,1.7,0.68
tripentylamine,Amine,15,Dynamic,Additive,,1.67,0.71
trihexylamine,Amine,18,Dynamic,Additive,,2.78,0.99
triheptylamine,Amine,21,Dynamic,Additive,,4.07,1.35
