C-Number,Thermal Conductivity_40C,Thermal Conductivity_100C,Density_40C (g/cm^3),Density_100C (g/cm^3),Heat Capacity (Constant Pressure) 40C (J/K/Mol),Heat Capacity (Constant Pressure) 100C (J/K/Mol),Density_40C,Density_100C,KVI,DVI,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
7,0.183,0.168,1.045,0.978,237,261,1045,978,0,174.5800652,4.896990741,4.896990741,0.222222222,0.222222222,0.395366413,10.36363636,164.201,148.073,164.104859,68,0,0.151954288,-0.355599647,0.355599647,0.151954288,0.636363636,1,1.363636364,16.76759825,10.87601208,1.857021782,-2.041769803,1.809875408,-2.064068148,4.084870159,-0.167057314,2.033930993,2.690915527,59.46091338,8.363961031,7.168527068,7.168527068,5.414213562,3.723614639,3.723614639,1.747400241,1.747400241,0.90824829,0.90824829,0.411484744,0.411484744,-0.16,292.886063,10.84,9.84,9.84,67.38308463,18.94745182,13.58588461,6.792942306,0,0,0,0,0,0,0,0,13.8474744,13.21376393,0,18.94745182,0,0,0,0,13.8474744,33.59259085,0,0,0,0,0,0,0,33.59259085,18.94745182,0,13.8474744,0,0,0,0,36.92,0,0,0,20.37882692,13.21376393,0,0,0,13.8474744,0,18.94745182,19.58631708,0,0,0,0,0,0,0,5.913682918,0,1,11,0,4,0,0,0,0,0,0,4,0,4,8,0,0,0,0,0.9651,40.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
8,0.172,0.159,1.24,1.17,236,269,1240,1170,0,135.9970297,10.27479792,10.27479792,0.231552343,-0.330012991,0.439755016,9.384615385,190.195,176.083,190.0841235,76,0,0.302207301,-0.463422519,0.463422519,0.302207301,0.846153846,1.230769231,1.538461538,16.57307641,10.67259426,1.940232367,-2.037224095,1.81337602,-2.117457675,5.656355598,-0.143427893,2.013535604,2.996104998,147.9173214,10.10444801,7.869668577,7.869668577,6.125897658,3.971197119,3.971197119,2.292459108,2.292459108,1.065992211,1.065992211,0.590704015,0.590704015,-1.1,553.7222911,11.9,7.544022315,10.9,76.95752572,14.21058886,13.21376393,0,0,0,11.93861058,9.589074368,0,0,0,0,0,13.8474744,13.21376393,23.79966323,11.93861058,0,0,0,13.8474744,26.42752786,0,0,0,0,0,0,0,38.36613843,23.79966323,0,13.8474744,0,0,0,0,61.83,0,9.589074368,0,25.1523745,13.21376393,0,13.8474744,0,0,9.473725908,4.736862954,14.17568673,0,20.54959584,0,0,-0.660025983,0,0,3.768076744,0,0.75,13,0,5,0,0,0,0,0,0,5,0,5,6,0,0,0,0,0.1292,44.085,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
8,0.158,0.147,0.966,0.909,261,289,966,909,0,151.8378877,5.1634375,5.1634375,0.618129252,0.618129252,0.476181702,10.5,178.228,160.084,178.1205091,74,0,0.070114392,-0.382297726,0.382297726,0.070114392,0.583333333,0.916666667,1.25,16.54848729,10.67966781,1.883313516,-2.038225978,1.792698935,-2.100526137,4.316125829,0.01060465,2.098390961,2.727242813,67.45811191,9.071067812,7.875633849,7.875633849,5.914213562,4.048547388,4.048547388,2.210343431,2.210343431,1.23559856,1.23559856,0.606493072,0.606493072,-0.16,488.925094,11.84,10.84,9.84,73.74802675,18.94745182,0,0,0,0,0,0,0,0,0,0,0,14.21959508,39.64129179,18.94745182,0,0,0,0,0,53.86088687,0,0,0,0,0,0,0,53.86088687,18.94745182,0,0,0,0,0,0,36.92,0,0,0,0,39.64129179,0,0,14.21959508,0,0,18.94745182,19.92910666,0,0,0,0,0,0,0,3.768418997,3.302474343,1,12,0,4,0,0,0,0,0,0,4,0,4,9,0,0,0,0,0.3124,45.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
8,0.203,0.108,0.994,0.938,277,307,994,938,0,175.7971818,4.922335601,4.922335601,0.172743056,0.172743056,0.382340426,10.61538462,194.227,176.083,194.1154237,80,0,0.151956942,-0.355599647,0.355599647,0.151956942,0.538461538,0.846153846,1.153846154,16.78866563,10.8774983,1.879092371,-2.057283192,1.827431796,-2.083519887,4.088283148,-0.190085751,2.155710272,2.758149818,78.60357147,9.778174593,8.283882139,8.283882139,6.414213562,4.300964908,4.300964908,2.069375516,2.069375516,1.074914957,1.074914957,0.504431,0.504431,-0.2,812.7027727,12.8,11.8,11.8,78.86157198,23.68431477,13.58588461,13.58588461,0,0,0,0,0,0,0,0,13.8474744,13.21376393,0,23.68431477,0,0,0,0,13.8474744,40.38553315,0,0,0,0,0,0,0,40.38553315,23.68431477,0,13.8474744,0,0,0,0,46.15,0,0,0,27.17176922,13.21376393,0,0,0,13.8474744,0,23.68431477,24.57472158,0,0,0,0,0,0,0,5.925278418,0,1,13,0,5,0,0,0,0,0,0,5,0,5,10,0,0,0,0,0.9392,45.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
9,0.137,0.127,0.947,0.894,201,237,947,894,0,169.6714602,11.17587963,11.17587963,0.020555556,0.020555556,0.572362236,19.72727273,156.225,140.097,156.1150298,64,0,0.308414655,-0.465765686,0.465765686,0.308414655,1.363636364,2,2.545454545,16.53279993,9.893878278,2.209794572,-2.186799205,2.2383878,-2.195448375,5.719104471,-0.148587204,2.066172829,2.265218744,125.5244228,8.104448007,7.136487537,7.136487537,5.342535255,4.509201922,4.509201922,3.086982162,3.086982162,2.225101515,2.225101515,1.598400966,1.598400966,-0.53,380.1758005,8.565510984,4.369018591,2.52379526,67.92802412,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,19.26246487,19.76538045,0,12.52478801,9.531400138,5.969305288,0,0,5.917906046,39.02784531,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,5.917906046,39.02784531,0,0,0,0,26.3,0,4.794537184,0,11.88721133,6.606881965,12.84164325,19.26246487,0,6.9237372,0,4.736862954,4.942407407,0,11.17587963,0,0,0.232314815,0,5.764418226,2.384979923,0,0.888888889,11,0,2,1,0,1,0,0,0,2,0,2,2,1,0,1,1,2.1298,43.208,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.167,0.156,0.978,0.931,194,197,978,931,0,125.7377206,11.24467593,11.24467593,0.243611111,0.243611111,0.602115337,9.545454545,148.205,136.109,148.088815,58,0,0.162361872,-0.294196448,0.294196448,0.162361872,1.272727273,1.909090909,2.454545455,16.13803222,10.08174466,2.005023245,-1.956297148,2.032571111,-1.959288454,5.953781414,0.098152744,2.066172829,2.69300795,225.88791,8.104448007,6.709213199,6.709213199,5.342535255,3.92546792,3.92546792,2.539201739,2.539201739,1.572826416,1.572826416,0.995445004,0.995445004,-1.11,380.1758005,7.991112235,3.914642062,2.187437803,67.05269368,0,0,5.783244946,0,0,0,4.794537184,0,0,0,37.25557254,6.420821623,11.98427311,0,4.794537184,5.783244946,0,0,0,19.76538045,0,35.89528683,0,0,0,0,0,0,5.783244946,0,0,30.12336912,30.33183534,0,0,0,17.07,0,4.794537184,0,5.783244946,6.420821623,11.98427311,0,0,37.25557254,0,0,0,0,11.24467593,0,0.828101852,0.243611111,9.421130008,1.581092215,2.014722222,0,0.3,11,0,1,0,0,0,1,0,1,1,0,1,3,0,0,0,1,2.6694,45.6805,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.128,0.114,0.844,0.794,182,214,844,794,0,153.8034667,2.225138889,2.225138889,1.233472222,1.233472222,0.595730956,9.7,134.222,120.11,134.1095504,54,0,-0.027897295,-0.065371072,0.065371072,0.027897295,1.1,1.8,2.4,13.92809457,10.10058883,1.868760189,-1.958948496,2.025781076,-1.811008987,5.138501419,0.794984947,2.02957389,2.426522347,164.6530014,7.234204519,6.50807169,6.50807169,4.931851653,3.971343774,3.971343774,2.58915195,2.58915195,1.661829883,1.661829883,1.025578078,1.025578078,-0.78,251.6671623,7.32845987,4.102460622,2.218872017,62.89117158,0,0,0,0,0,0,0,0,0,0,43.67639416,18.40509474,0,0,0,0,0,0,0,26.18620207,0,35.89528683,0,0,0,0,0,0,0,6.420821623,0,25.32883194,30.33183534,0,0,0,0,0,0,0,0,0,0,24.82591636,0,0,37.25557254,0,0,0,0,0,1.462361111,0,10.64955593,3.829610733,2.225138889,0,0.4,10,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,3.0292,45.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.134,0.123,0.882,0.837,178,219,882,837,0,154.9140761,1.560185185,1.560185185,1.155092593,1.155092593,0.481193197,40.8,138.254,120.11,138.1408506,58,0,-0.038584578,-0.053021666,0.053021666,0.038584578,0.5,0.8,1.1,14.31976687,9.709527138,2.262921702,-2.347347427,2.394551581,-2.221595083,4.782737938,0.171046854,2.050414481,1.925367734,80.60593782,6.811554788,6.811554788,6.811554788,4.966326495,4.966326495,4.966326495,4.089073412,4.089073412,3.466326495,3.466326495,2.857589235,2.857589235,0,348.5704618,6.694214876,2.93877551,1.209876543,64.01206775,0,0,0,0,0,0,0,0,0,0,51.36657298,11.83581209,0,0,0,0,0,0,11.83581209,51.36657298,0,0,0,0,0,0,0,0,0,0,11.83581209,51.36657298,0,0,0,0,0,0,0,0,0,0,11.83581209,25.68328649,25.68328649,0,0,0,0,0,0,0,0,2.310185185,0,12.35648148,0,0,1,10,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,2,3.3668,43.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.117,0.108,0.85,0.805,186,224,850,805,0,159.6915132,1.560185185,1.560185185,1.155092593,1.155092593,0.520879859,30,138.254,120.11,138.1408506,58,0,-0.038584578,-0.053021666,0.053021666,0.038584578,0.5,0.8,1.1,14.31976687,9.897207366,2.262921702,-2.157215987,2.394551581,-2.057079141,4.782737938,0.347228016,2.591730967,1.847467114,80.60593782,6.811554788,6.811554788,6.811554788,4.966326495,4.966326495,4.966326495,4.089073412,4.089073412,3.466326495,3.466326495,2.857589235,2.857589235,0,497.6123456,6.694214876,2.93877551,1.209876543,64.01206775,0,0,0,0,0,0,0,0,0,0,51.36657298,11.83581209,0,0,0,0,0,0,11.83581209,51.36657298,0,0,0,0,0,0,0,0,0,0,11.83581209,51.36657298,0,0,0,0,0,0,0,0,0,0,11.83581209,25.68328649,25.68328649,0,0,0,0,0,0,0,0,2.310185185,0,12.35648148,0,0,1,10,0,0,2,0,2,0,0,0,0,0,0,1,2,0,2,2,3.3668,43.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.125,0.115,0.776,0.729,221,259,776,729,0,156.0876567,2.286357237,2.286357237,1.117175926,1.117175926,0.521520997,20.1,140.27,120.11,140.1565006,60,0,-0.041428577,-0.065382382,0.065382382,0.041428577,1.1,1.8,2.4,14.18795557,10.00186282,2.12810659,-2.057731797,2.284061477,-1.912584585,4.661542117,0.471483328,2.406379903,1.911170111,70.10749561,7.234204519,7.234204519,7.234204519,4.931851653,4.931851653,4.931851653,3.64626437,3.64626437,2.690670698,2.690670698,1.982050808,1.982050808,0,310.4230075,8.1,4.760330579,2.722222222,65.0178989,0,0,0,0,0,0,0,0,0,0,58.29031018,5.917906046,0,0,0,0,0,0,5.917906046,58.29031018,0,0,0,0,0,0,0,0,0,0,5.917906046,58.29031018,0,0,0,0,0,0,0,0,0,0,5.917906046,51.36657298,0,0,6.9237372,0,0,0,0,0,0,1.117175926,0,11.92980017,2.286357237,0,1,10,0,0,1,0,1,0,0,0,0,0,0,4,1,0,1,1,3.7569,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
