,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,Toxicity,SCScore,Density40C,SimilarityScore
67,C=C(CCCC)CCCCCC(CCCCCCCCCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B51C0>,"[None, None, 'AddAtom']",33,Generation_3_Molecule_67,,458.859,[None],,,,,,,,,,,,
68,CCCCCCCCCCCCCCCCCC(CCCCCCCCCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B5690>,"[None, None, 'AddFragment']",39,Generation_3_Molecule_68,,545.037,[None],,,,,,,,,,,,
69,CCC=CCCCCCC(CCCCCCCCCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B5700>,"[None, None, 'RemoveAtom']",31,Generation_3_Molecule_69,,430.80499999999995,[None],,,,,,,,,,,,
70,CCC=CCCCCCCC(CCCCCCCCCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B7530>,"[None, None, 'ReplaceBond']",32,Generation_3_Molecule_70,,444.832,[None],,,,,,,,,,,,
71,CCCCC=CCCCC(CCCCCCCCCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B70D0>,"[None, None, 'RemoveAtom']",31,Generation_3_Molecule_71,,430.80499999999995,[None],,,,,,,,,,,,
72,CCCCCCCCCCC(CCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B55B0>,"[None, None, 'RemoveFragment']",25,Generation_3_Molecule_72,,348.659,[None],,,,,,,,,,,,
73,CCCCCCCCCCC(CCCCOCCCCCCCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B7220>,"[None, None, 'Glycolate']",35,Generation_3_Molecule_73,,490.901,[None],,,,,,,,,,,,
74,CCCCCCCCCCC(CCCCCCOCCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B7140>,"[None, None, 'ReplaceAtom']",32,Generation_3_Molecule_74,,448.82,[None],,,,,,,,,,,,
75,CCCCCCCCCCCC(CCCCCCCCC(=O)OCCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B52A0>,"[None, None, 'Esterify']",37,Generation_3_Molecule_75,,518.9110000000001,[None],,,,,,,,,,,,
76,CCCCCCCCCCCC(CCCCCOCCCC)C1CCCC2CCCCC21,<rdkit.Chem.rdchem.Mol object at 0x00000216251B7300>,"[None, None, 'ReplaceAtom']",32,Generation_3_Molecule_76,,448.82,[None],,,,,,,,,,,,
