DViscosity40C,DViscosity100C,HeatCapacity_40C,HeatCapacity_100C,ThermalConductivity_40C,ThermalConductivity_100C,DVI,Toxicity,SCScore,TotalScore,NichedScore,Generation
3.779,1.916,6.733,6.891,0.145,0.135,190.878,0.28,0.911,0.772,0.855,100
3.687,1.87,6.681,6.835,0.163,0.15,190.301,0.23,0.817,0.743,0.807,10
3.665,1.822,6.688,6.842,0.164,0.152,188.936,0.228,0.813,0.736,0.803,11
3.69,1.813,6.684,6.842,0.16,0.148,188.172,0.224,0.812,0.741,0.809,12
3.721,1.835,6.694,6.848,0.161,0.148,188.607,0.233,0.817,0.755,0.824,13
3.721,1.835,6.694,6.848,0.161,0.148,188.607,0.233,0.817,0.766,0.836,14
3.733,1.874,6.689,6.842,0.163,0.149,189.763,0.223,0.835,0.764,0.837,15
3.79,1.926,6.693,6.85,0.162,0.146,190.792,0.243,0.848,0.759,0.832,16
3.741,1.927,6.697,6.855,0.158,0.143,191.662,0.266,0.871,0.762,0.837,17
3.682,1.866,6.69,6.851,0.146,0.136,190.546,0.274,0.882,0.764,0.844,18
3.702,1.863,6.718,6.873,0.147,0.136,190.057,0.259,0.88,0.765,0.844,19
3.177,1.574,6.465,6.618,0.19,0.177,165.923,0.419,0.659,0.0,0.0,1
3.702,1.863,6.718,6.873,0.147,0.136,190.057,0.259,0.88,0.769,0.848,20
3.636,1.82,6.723,6.875,0.148,0.137,189.529,0.241,0.868,0.767,0.846,21
3.643,1.818,6.723,6.876,0.148,0.138,189.347,0.241,0.873,0.772,0.85,22
3.643,1.818,6.723,6.876,0.148,0.138,189.347,0.241,0.873,0.774,0.852,23
3.643,1.818,6.723,6.876,0.148,0.138,189.347,0.241,0.873,0.772,0.851,24
3.643,1.818,6.723,6.876,0.148,0.138,189.347,0.241,0.873,0.774,0.852,25
3.713,1.838,6.719,6.873,0.148,0.136,189.025,0.254,0.884,0.762,0.839,26
3.678,1.827,6.728,6.882,0.145,0.134,189.14,0.255,0.885,0.768,0.846,27
