,SMILES,MolObject,MutationList,HeavyAtoms,ID,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,DVI,Toxicity,SCScore,Density40C,SimilarityScore,ThermalConductivity_40C,ThermalConductivity_100C,HeatCapacity_40C,HeatCapacity_100C,ViscNormalisedScore_40C,ViscNormalisedScore_100C,HCNormalisedScore_40C,HCNormalisedScore_100C,TCNormalisedScore_40C,TCNormalisedScore_100C,DVINormalisedScore,TotalScore,NichedScore
1,C=C(CCCCCC)OC(=O)CCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x0000021625196C70>,"['ReplaceBond', None, 'RemoveFragment']",19,Generation_1_Molecule_1,268.441,[None],,0.8503641,1.6267349,0.5266,24.497058760545855,,,0.91330284,0.9150246327168271,0.16139814,0.15143295,6.021458,6.168365,0.5212719440460205,0.5212719440460205,0.40691113,0.40691113,0.47872806,0.47872806,0.999999969755614,3.813822239195311,4.167999530101804
2,CCCCC(CCCC)CCCC(CCCC)CCCC,<rdkit.Chem.rdchem.Mol object at 0x0000021625196C00>,"['RemoveAtom', 'RemoveAtom', 'ReplaceBond']",21,Generation_1_Molecule_2,296.58299999999997,[None],,0.749199,1.5817183,0.38601127,-408.89698305067986,,,0.81300294,0.9281856873206584,0.12828657,0.12060446,6.2323213,6.3830523,0.5321569442749023,0.5321569442749023,0.5733844,0.5733844,0.46784306,0.46784306,0.9999998962893966,4.1467687046542645,4.467606817580337
3,COCCCCCCCCCCCCCCC1CCCc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000021625196B90>,"['ReplaceAtom', 'Glycolate', 'Glycolate']",26,Generation_1_Molecule_3,358.61,[None],,0.9105364,3.2635589,1.5291036,182.94630876581226,,,0.8875529,0.9305881638826381,0.15781859,0.14898786,6.297201,6.460048,0.12548720836639404,0.12548720836639404,0.62460613,0.62460613,0.8745128,0.8745128,0.9999999966149289,4.2492122616295775,4.566157647976995
4,CCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x0000021625197220>,"[None, 'RemoveFragment', None]",10,Generation_1_Molecule_4,142.286,[None],,0.6683248,-0.35311282,-0.99665487,0,,,0.7145234,0.9114443400037686,0.1263058,0.11229931,5.7680244,5.8715916,1.0,1.0,0.20682898,0.20682898,0.0,0.0,0.9999999656030274,3.413657928878937,3.7453279142254834
5,CCCCCCCCCCOCOCOCCCCCCCCc1ccc(C)c(C)c1,<rdkit.Chem.rdchem.Mol object at 0x0000021625197140>,"['Glycolate', 'Esterify', 'RemoveAtom']",31,Generation_1_Molecule_5,434.705,[None],,0.9793232,3.0724607,1.5441431,187.92544317706015,,,0.90143424,0.9120758224178911,0.18051395,0.17617266,6.489846,6.6533074,0.171694815158844,0.171694815158844,0.77669656,0.77669656,0.8283052,0.8283052,0.9999999974589603,4.553393122993018,4.992340561031519
6,CCCCC(CC)C(C)OC(=O)CCCC1CCC(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021625196CE0>,"['AddAtom', 'RemoveFragment', 'RemoveFragment']",22,Generation_1_Molecule_6,310.522,[None],,0.8791487,2.1391594,0.71384305,90.85400100853417,,,0.91400373,0.9211928076265715,0.12931967,0.123350285,6.158949,6.321189,0.3973674178123474,0.3973674178123474,0.51545805,0.51545805,0.6026326,0.6026326,0.9999999810040232,4.030916075783992,4.375757216526189
7,CCCCCC(C1CCCCC1)C1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x0000021625197370>,"['RemoveFragment', None, 'ReplaceBond']",18,Generation_1_Molecule_7,250.46999999999997,[None],,0.8354325,2.5276484,0.7754406,77.3579284965534,,,0.8803848,0.9095458851580408,0.12677859,0.11905967,5.928738,6.1032414,0.3034306764602661,0.3034306764602661,0.33371004,0.33371004,0.6965693,0.6965693,0.9999999787162542,3.6674200679610967,4.032144092789616
8,C=CCCCCCCOCOCOCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x0000021625196D50>,"['Glycolate', None, None]",22,Generation_1_Molecule_8,314.51,[None],,0.96348333,1.920853,0.6908037,107.27491588349123,,,0.92980444,0.9075155434906717,0.20425528,0.20050709,6.199452,6.321331,0.45015400648117065,0.45015400648117065,0.54743457,0.54743457,0.549846,0.549846,0.9999999837875928,4.094869120597895,4.512175190793288
9,CCCCc1cc2c(cc1CCCCCOCC)CCCC2,<rdkit.Chem.rdchem.Mol object at 0x00000216251971B0>,"['ReplaceAtom', None, 'AddAtom']",22,Generation_1_Molecule_9,302.502,[None],,0.9056859,2.9874413,1.4948173,187.17607312487496,,,0.93395686,0.9215058440112631,0.12340325,0.11843224,6.050592,6.2037435,0.19225245714187622,0.19225245714187622,0.42991182,0.42991182,0.80774754,0.80774754,0.9999999973319317,3.859823641493156,4.188604626414045
10,CCCCCCCCCCCCCCCOCOCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x0000021625197060>,"['Glycolate', None, None]",24,Generation_1_Molecule_10,342.60799999999995,[None],,0.9919061,2.547148,1.5297154,197.69717239186872,,,0.9963349,0.908277739195508,0.19018324,0.18782395,6.337929,6.461897,0.29871559143066406,0.29871559143066406,0.65676,0.65676,0.7012844,0.7012844,0.9999999991154019,4.313519953796798,4.749119974708868
11,CC(C)CCCCCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000021625196FF0>,"[None, None, 'AddFragment']",41,Generation_1_Molecule_11,572.915,[None],,0.9133036,3.7825286,1.8577935,188.93497479504578,,,0.9240409,0.9161594456617553,0.16194773,0.15271126,6.737132,6.897217,0.0,0.0,0.9719251,0.9719251,1.0,1.0,0.9999999976300896,4.94385015727517,5.396277013445138
12,CCCCCCCCCCC(CCCCCCCCC)CCCCCCOCOCCCCC,<rdkit.Chem.rdchem.Mol object at 0x0000021625196DC0>,"['Glycolate', None, 'RemoveFragment']",34,Generation_1_Molecule_12,482.878,[None],,0.975142,2.8901436,1.7128279,197.91526856954357,,,0.97976965,0.9119962477637975,0.18825617,0.18477497,6.6828146,6.829552,0.2157791256904602,0.2157791256904602,0.9290422,0.9290422,0.7842209,0.7842209,0.9999999991523723,4.8580844393836955,5.326868889313583
13,CCCCC(C)(C)COC(=O)CCCCCCCCCCC(=O)OCC(C)(C)CCOC,<rdkit.Chem.rdchem.Mol object at 0x00000216251973E0>,"['ReplaceAtom', None, 'RemoveAtom']",32,Generation_1_Molecule_13,456.70799999999997,[None],,0.9219557,2.8576477,1.3709301,182.76810350396724,,,0.9787296,0.9235666771333815,0.18795238,0.17691095,6.5348096,6.685239,0.22363662719726562,0.22363662719726562,0.81219447,0.81219447,0.7763634,0.7763634,0.9999999965847206,4.624388929766483,5.007098073438426
14,CCCCCOC(=O)CC1CCC(C2CCC(CCCC)CC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021625197300>,"['Esterify', None, 'AddFragment']",25,Generation_1_Molecule_14,350.587,[None],,0.9377612,3.121054,1.4358512,180.3851169678045,,,1.0187607,0.9270275906432076,0.13568047,0.12788413,6.244989,6.3995194,0.15994489192962646,0.15994489192962646,0.58338535,0.58338535,0.8400551,0.8400551,0.9999999961807717,4.166770692820786,4.494764486922897
15,CC(C)=CCCC(C)C(C)CCC(C)CCCC(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000021625197290>,"['ReplaceBond', None, 'RemoveAtom']",20,Generation_1_Molecule_15,280.53999999999996,[None],,0.7846595,1.3041155,0.31570593,-753.1318760473507,,,0.81250995,0.942524685901895,0.10536442,0.10078925,6.1611924,6.3110647,0.5992814302444458,0.5992814302444458,0.51722926,0.51722926,0.40071857,0.40071857,0.9999998379368743,4.034458355965134,4.280480306045873
16,CC(C)c1ccc(CC(C)c2ccc(C(C)C=O)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000021625196AB0>,"['AddAtom', None, 'ReplaceAtom']",22,Generation_1_Molecule_16,294.438,[None],,1.0088847,2.802934,1.2821414,177.51214139980482,,,0.9849027,0.9447373076103509,0.13405305,0.13055342,5.997274,6.1536803,0.23686641454696655,0.23686641454696655,0.38781804,0.38781804,0.7631336,0.7631336,0.9999999956937631,3.775636072620948,3.996493038018329
17,CCCC=CCCCCCCCCCCCCCCCc1ccc(C)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000021625196F80>,"['ReplaceBond', None, 'AddAtom']",27,Generation_1_Molecule_17,370.66499999999996,[None],,0.81964713,2.2970023,1.0133953,167.36176944174946,,,0.8477762,0.9266725742312356,0.16594738,0.15407401,6.370059,6.514695,0.35920101404190063,0.35920101404190063,0.68212634,0.68212634,0.640799,0.640799,0.9999999939731363,4.364252680473686,4.709595170758404
18,CCCCCCOC(=O)c1ccc(C(=O)OCCOC(=O)CCCCCC)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000216251974C0>,"['Esterify', None, 'ReplaceBond']",29,Generation_1_Molecule_18,406.519,[None],,1.1576409,3.3255143,1.5508143,182.84727184014008,,,1.128824,0.9102553262827817,0.20388491,0.1925726,6.3369217,6.4372826,0.11050635576248169,0.11050635576248169,0.6559649,0.6559649,0.88949364,0.88949364,0.9999999965981408,4.311929818566219,4.737055300928463
19,CCCCCCCCCCCCCCOCCCOC(=O)CCCCCCCCC(=O)OCC1(C)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x00000216251970D0>,"[None, 'Glycolate', 'Glycolate']",40,Generation_1_Molecule_19,566.908,[None],,0.98848516,3.6542742,1.9846247,194.99797644324727,,,0.9377564,0.9068806023362,0.18921049,0.17454664,6.737847,6.889274,0.031011998653411865,0.031011998653411865,0.97248936,0.97248936,0.968988,0.968988,0.9999999986578513,4.944978712647109,5.452734020232026
20,CCC(C)CCCC(C)(O)CCCC(CC)CCCCC(C)C,<rdkit.Chem.rdchem.Mol object at 0x00000216251975A0>,"['AddFragment', None, 'RemoveAtom']",23,Generation_1_Molecule_20,326.609,[None],,0.89079255,2.7387655,1.1370361,164.3395441626826,,,0.9175633,0.9390069401897393,0.12709092,0.12015,6.28695,6.4447,0.25238239765167236,0.25238239765167236,0.6165131,0.6165131,0.7476176,0.7476176,0.9999999934608278,4.23302614034956,4.507981740256594
