Train Size,Model Params,Train Params,Validation MSE
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",17.708613826034927
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",18.50793523546944
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",18.550141504977187
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",8.591096102497293
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",9.905476201639583
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",9.562407786080113
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",5.02841691450088
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",5.054002033721309
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",5.487072378126987
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",17.75073955667242
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",17.902066114565013
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",18.21894741681232
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",8.626818416774107
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 16}",8.744718134496114
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 32}",9.565495992897024
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 8}",5.2029895682399525
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 16}",4.941593640877559
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 32}",4.952273461973403
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 8}",18.383678066583787
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 16}",17.935929162908888
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 32}",17.581632905504634
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 8}",9.257085079680117
