Train Size,Model Params,Train Params,Validation MSE
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",18.433514240920715
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",18.451793972336826
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",9.698601844345802
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",10.306570494519876
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",4.9955128408517675
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",5.434896872105583
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",18.437235137054294
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",18.585833752516283
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",8.829017321936131
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",9.639277910725415
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",5.08348445500425
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",5.278542246268779
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",18.02757037342722
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",18.4129540586107
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",8.417089322153402
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",8.98405872273062
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",4.638083763860709
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",5.204076699707365
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",12.892293559656519
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",13.208714191690381
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",7.0634784970142706
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",7.822504565787793
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.550996194228714
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.928651379107817
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",13.06222445761249
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",13.376224838586367
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",7.817762181930201
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",7.326015513437442
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.6356066684976405
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",4.277759142393878
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",12.662841226152981
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",13.038102862832934
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",6.9500707012380945
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",7.114241637644679
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.7409187473801246
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.566162560848624
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",10.124476345400751
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",10.33639428888274
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",4.8047421946358355
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",4.694026090406048
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.2609884116408607
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.0716895899318395
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",9.836611626058854
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",10.72217151788451
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",4.957298927436825
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",4.633200798103603
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.2236442538437045
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.175597585994603
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",11.001523172017617
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",9.963933500197731
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",4.709276066801233
0.2,"{'optimizer': 'adam', 'filters': 32, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",4.622466851545719
