Params,Test MSE,Test R2,Train Time
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.005517221806854808,0.5206626503144787,0.9031832218170166
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 4, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.005150378896424813,0.5525340367825675,0.665844202041626
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 5, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.005038350463780236,0.5622670897344275,1.0163555145263672
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 6, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.005051293707786137,0.5611425780698043,1.7480974197387695
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 10, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.005300857625319612,0.5394604142932811,3.89694881439209
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 20, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.005264661684523431,0.54260512497159,3.716909885406494
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 50, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.005264661684523431,0.54260512497159,3.7193069458007812
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 100, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.005264661684523431,0.54260512497159,3.710071563720703
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.003331910909854549,0.7105229043114338,0.2099289894104004
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0029024015781043367,0.7478387621749971,0.37001800537109375
