Params,Test MSE,Test R2,Train Time
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.022489583643581727,0.8187705280953821,0.615598201751709
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 4, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.021714516752684897,0.8250163068325119,0.38541078567504883
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 5, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.021557032940837353,0.8262853702579169,0.6418278217315674
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 6, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.021504985316289242,0.8267047894726179,0.9254837036132812
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 10, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.02148963758361745,0.8268284672396733,1.3944621086120605
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 20, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.02148963758361745,0.8268284672396733,1.3823232650756836
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 50, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.02148963758361745,0.8268284672396733,1.3960411548614502
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 100, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.02148963758361745,0.8268284672396733,1.3814013004302979
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0013528180959783446,0.9890984860812604,0.20711183547973633
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.001229782092579798,0.9900899561891356,0.37267065048217773
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 5, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.0012228757321018698,0.990145610223556,0.6078746318817139
