Train Size,Model Params,Train Params,Validation MSE,Average Training Time
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 8}",8.006303090707567,81.42792019844055
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 16}",8.497456157878272,53.69746255874634
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.428996585680565,40.80093083381653
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 64}",7.843028891557592,33.90463089942932
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 128}",7.806093584311446,29.246659660339354
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 8}",10.175611093705564,86.78100118637084
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 16}",9.840714409711445,60.3181489944458
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 32}",10.254138602595116,40.63255767822265
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 64}",9.127031938464901,34.945249223709105
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 1, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 128}",15.082540887943418,97.88899211883545
