Molecule Name,Type,C-Number,Dynamic Or Kinematic,Viscosity_40C,Viscosity_100C,Thermal Conductivity_40C,Thermal Conductivity_100C,Density_40C,Density_100C,Viscosity Prediction,Heat Capacity_40C,Heat Capacity_100C,Density Prediction,Thermal Conductivity Prediction,Heat Capacity Prediction,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
"3,5,7,9-tetraoxaundecane",Ether,7,Dynamic,1.54,0.78,0.183,0.168,1.045,0.978,ViscosityL,237.0,261.0,VDNSExpansion,TransportPolynomial,PolynomialHC,0.2598228,-0.09224642,0.290948,-0.23640585,-0.0039059983,0.2536456,-0.1162906,-0.098050974,-0.1067489,-0.13750112,0.1011083,0.12679292,-0.20383869,0.05059826,-0.48094973,-0.3938276,-0.07584696,-0.07235595,-0.30228728,-0.3878917,0.00043257134,-0.16646801,0.41363242,-0.015852645,0.23757456,0.008385019,-0.007077026,0.07495508,-0.18943673,-0.25769353,0.029709794,0.2604035,-0.03893432,-0.057288796,0.13510953,-0.22096579,0.1025116,0.08813271,-0.09807645,0.020475863,0.1594099,0.00033953344,-0.35645983,-0.23280303,-0.07372849,-0.047024656,0.18355541,0.060652908,-0.0031473306,0.18795544,-0.28225863,0.22130464,-0.35614944,-0.040146444,0.049444135,0.039120764,0.12739798,-0.33711708,0.14584132,0.16731223,0.25484875,-0.091063924,-0.013441976,0.07767231,-0.16229542,0.08098245,0.1430145,-0.0029142543,-0.23824577,0.029427169,-0.133649,0.12074575,0.43942866,-0.040148202,-0.009126785,0.14735018,0.32346177,0.006405497,-0.053733032,-0.13429962,0.028238403,0.28218246,-0.02155839,-0.31321675,-0.19508131,0.11727837,-0.014942431,0.12110118,-0.19177362,0.12966374,-0.16927268,-0.018163996,0.08591728,-0.20403378,-0.16917771,0.0061739567,-0.1467241,-0.09896054,-0.18649398,0.19749984,0.001199123,0.13258955,0.15666965,0.22141016,0.33527988,-0.2553786,-0.15877235,-0.101582676,0.12183032,0.06510865,-0.3633272,-0.0698661,0.12683977,-0.052078065,0.046088975,0.23769681,-0.042091712,0.16873486,0.0050881407,0.07630992,0.1925268,-0.004599503,0.02989047,-0.03553658,0.0695761,0.32526886,-0.2310736,0.08129051
diethylene glycol diacetate,Ether,8,Dynamic,3.7,1.22,0.172,0.159,1.24,1.17,PPDS 9,236.0,269.0,VDNSExpansion,TransportPolynomial,PolynomialHC,0.51586515,-0.144629,0.33141613,-0.3660385,0.22071981,0.43506852,-0.103846185,-0.15524462,-0.22439241,-0.27299425,-0.22690992,0.05559161,-0.2956015,0.09576783,-0.38100758,-0.53448576,0.03121803,-0.2683056,-0.36396012,-0.3605856,-0.055883493,-0.35121495,0.37460315,0.10121138,0.25819433,0.07070661,0.13937803,0.045279384,-0.23113155,-0.36791816,0.14703658,0.30675513,0.010434504,0.100415744,0.06629544,-0.34444773,-0.039049253,0.16364595,-0.24902038,0.14944707,0.20322937,-0.12228241,-0.48488525,-0.00783296,-0.1310343,-0.14934553,0.4320974,0.12112764,-0.10479735,0.089691296,-0.51637584,0.25123224,-0.3563252,-0.07976295,0.02571559,0.09346574,0.15014185,-0.40469918,0.24161331,0.09522071,0.35911846,-0.081747234,0.077113286,0.21597473,-0.21096517,0.10359912,0.15712604,-0.09713622,-0.36739582,0.0072084027,-0.0910668,0.21578826,0.6226383,0.058211226,0.013923784,0.3914766,0.23945631,-0.15505989,-0.04089532,-0.29849744,0.0063201436,0.24437954,-0.1084271,-0.6156773,-0.3872883,0.07032041,-0.19485976,0.19757445,-0.22691172,0.03951034,-0.18170154,0.024765464,0.14362882,-0.2161988,-0.38715425,0.087603465,-0.19613121,-0.0017893536,-0.22261374,0.2289665,0.23829564,0.058319837,0.1494584,0.12844901,0.30614144,-0.23708813,-0.25715435,-0.17773543,0.26312077,0.32181984,-0.5874507,-0.0015990271,0.25021338,-0.22365005,-0.0011115946,0.2752628,-0.10668418,0.14223707,0.04810079,0.097153604,0.31718153,-0.022843173,-0.010509752,0.109234266,0.009985633,0.4797311,-0.14961198,0.29593715
"2,5,8,11-tetraoxadodecane",Ether,8,Dynamic,1.49,0.67,0.158,0.147,0.966,0.909,PPDS 9,261.0,289.0,VDNSExpansion,TransportPolynomial,PolynomialHC,0.64216274,-0.11648161,0.48941952,-0.45059615,0.2942534,0.57184774,-0.1524005,-0.3107042,-0.2333381,-0.39196146,-0.33185628,0.06291147,-0.20548214,0.06422983,-0.485603,-0.6585254,-0.005583048,-0.31868207,-0.42164528,-0.34835336,-0.1454731,-0.48700762,0.3815115,0.13473316,0.23220462,0.054904386,0.1672074,0.049046215,-0.44564044,-0.2564221,0.33280727,0.28224194,-0.01609628,0.23855278,0.10103898,-0.557854,-0.12819333,0.1877845,-0.31977043,0.34323636,0.24106702,-0.2761489,-0.47627103,0.13302024,-0.28341693,-0.24369144,0.64128995,0.14857267,-0.12587526,-0.07454019,-0.583912,0.17589211,-0.5237731,-0.10597973,-0.09231447,0.15211734,0.10592777,-0.569383,0.22004436,0.21472022,0.42964846,-0.06938278,0.08133743,0.20673442,-0.29502508,0.06420858,0.11070069,-0.22925766,-0.38399905,-0.006833464,-0.14808013,0.16403385,0.71600306,0.08824963,0.013037468,0.47650683,0.42211962,-0.3057423,-0.0094353575,-0.45713,-0.020247793,0.39934546,-0.0519917,-0.80692375,-0.5766553,0.11486397,-0.4475809,0.33102533,-0.34710053,-0.031043256,-0.2356275,0.13009258,0.11025559,-0.15885802,-0.55883896,-0.011799961,-0.22668736,0.09948512,-0.24922012,0.27265513,0.35146725,-0.09800558,0.27589625,0.111048594,0.17212796,-0.26282936,-0.30905342,-0.24410425,0.3923671,0.4884819,-0.7009965,0.019855667,0.444908,-0.26627845,0.017778791,0.3919595,-0.28030387,0.03739362,-0.0033233552,-0.012057587,0.45060566,-0.07207813,0.02676204,0.24956235,-0.053767875,0.5578376,-0.24738589,0.3771744
"3,5,7,9,11-pentaoxatridecane",Ether,8,Dynamic,2.6,1.19,0.203,0.108,0.994,0.938,PPDS 9,277.0,307.0,VDNSExpansion,TransportPolynomial,PolynomialHC,0.28053534,-0.0940432,0.2867851,-0.2260353,0.0120223565,0.24160746,-0.11751536,-0.08876392,-0.109936304,-0.12976651,0.07663303,0.1283313,-0.1866088,0.047458965,-0.42190802,-0.36024013,-0.06619941,-0.076985456,-0.28956273,-0.35772967,-0.0027966758,-0.1411706,0.35864246,-0.011238534,0.20053925,0.043214217,0.004849724,0.061261106,-0.16365658,-0.22958277,0.010421435,0.24518573,-0.043497458,-0.011038146,0.13441388,-0.1976618,0.08219618,0.08493034,-0.09549685,0.013803977,0.14556453,0.0068835546,-0.3485863,-0.18483476,-0.054399733,-0.06459208,0.18415976,0.050344817,-0.04106286,0.16484621,-0.26882997,0.18904479,-0.33103463,-0.03230487,0.046686735,0.027437838,0.1291766,-0.29586783,0.12901074,0.13285013,0.21497406,-0.08822078,-0.010454599,0.09485914,-0.15721302,0.06523139,0.13021757,-0.0052257064,-0.23527925,-0.01665202,-0.12144879,0.11536417,0.39292172,-0.05789015,-0.019330498,0.15268058,0.2922699,-0.023630975,-0.060552828,-0.13987774,0.01026834,0.24805246,0.0008328329,-0.28497157,-0.20903094,0.10412099,-0.02045112,0.11749287,-0.16264805,0.12755485,-0.17887889,-0.027028037,0.07213133,-0.17635949,-0.13868505,0.017638303,-0.13282633,-0.067202955,-0.1692217,0.15944703,0.012822694,0.11499564,0.14316048,0.21096344,0.3240111,-0.24291483,-0.14975506,-0.090023614,0.12238945,0.082899995,-0.35831356,-0.05817917,0.13740934,-0.052506123,0.03350932,0.23340575,-0.061452888,0.13077702,0.021019032,0.06609241,0.20558204,-0.027211772,0.015742563,0.010190087,0.042291187,0.30403826,-0.21906273,0.09212706
ethyl cyclohexanecarboxylate,Ester,9,Dynamic,1.58,0.77,0.137,0.127,0.947,0.894,ViscosityL,201.0,237.0,VDNSExpansion,TransportPolynomial,PolynomialHC,0.3707606,-0.081537195,0.432544,-0.23827098,-0.11806568,0.16106552,0.038198806,0.133853,-0.37473512,-0.17738171,0.38040257,0.46467093,-0.4128101,0.23116206,-0.5074485,-0.5515409,0.17404014,0.1328992,-0.4803344,-0.43320262,0.03622141,-0.080793396,0.60424644,-0.030874928,0.455916,-0.0847693,0.013858946,0.20357797,-0.2221508,-0.6282211,-0.15822595,0.28122887,0.10092343,-0.36030686,0.016442321,-0.1025814,0.31835443,0.07027394,-0.08299201,-0.14384407,0.007280221,0.2769826,-0.37326086,-0.6304972,-0.036289424,0.04749536,-0.06451642,0.28316277,0.32529628,0.49643728,-0.36785653,0.4806812,-0.2714368,-0.11386072,0.19400245,0.1617338,0.05387332,-0.62723666,0.38554624,0.32362574,0.40993893,-0.021546103,-0.29445872,-0.09360245,-0.15529627,0.22433814,0.21845609,0.17963412,-0.3689018,0.2558667,0.022783991,0.23139744,0.6183616,-0.17937857,0.12431225,0.22302783,0.39070666,0.21606618,-0.018388353,0.10818006,0.14907445,0.27693796,-0.101896174,-0.13041025,-0.15127128,-0.06918705,0.27707955,-0.07314265,-0.11500611,0.04632192,0.08624366,-0.19718887,0.109817885,-0.2557632,0.035003122,0.23005618,-0.35190806,-0.3790861,-0.101912126,0.21455278,-0.282524,0.27882937,0.28672355,0.3215636,0.6398234,-0.19162062,0.031630546,-0.17232324,-0.058030743,-0.15949202,-0.1888703,0.030014662,-0.075414605,-0.0023864696,0.21784066,0.024968402,0.19365586,0.2348034,-0.02635874,0.118869536,0.13842863,0.1683117,0.14925884,-0.42307848,0.17341118,0.46042442,-0.21425813,0.010112212
Butyrophenone,Aromatic Ester,10,Dynamic,1.56,0.629,0.167,0.156,0.978,0.931,Experimental,194.0,197.0,VDNSExpansion,TransportPolynomial,Wilhoit,0.24610396,0.21903162,0.52185,0.0946841,-0.2027331,0.08931108,-0.050064474,0.022692,-0.22170354,-0.15250534,0.5850452,0.46535385,0.035081834,0.011311741,-0.65246564,-0.44288373,-0.09934793,0.3015883,-0.4671708,-0.33468625,-0.041678365,0.22333267,0.5660772,-0.16412923,0.17140567,0.16930945,-0.235818,0.120820664,-0.48709533,-0.12587956,-0.24617024,0.24416447,-0.13066807,-0.13344581,0.3663986,-0.33553416,0.35937202,0.081967376,0.041018315,-0.038894795,0.004961519,0.39131638,-0.2149194,-0.43854925,-0.13770545,0.094726555,-0.06511415,0.1955062,0.102940194,0.14773364,-0.009555763,0.20496877,-0.38122153,-0.045226242,0.29886493,0.05251816,0.11573087,-0.5917069,0.061767936,0.26334432,0.19727443,-0.22596474,-0.17805663,-0.14682534,-0.15237024,-0.024845274,0.22938554,0.13196492,-0.05227827,0.013300074,-0.27459937,0.15059994,0.31530035,-0.28090906,-0.11749848,0.1705754,0.8150431,0.23861036,-0.20569448,-0.108303785,0.05906316,0.5389452,0.05973718,0.010715061,-0.18995582,-0.006056241,0.267396,0.19606982,-0.21192607,0.33065742,-0.0067677163,-0.067779705,-0.25025657,-0.15759063,0.30268326,-0.1433024,-0.35945502,-0.25031367,0.16586235,0.059609465,-0.39664763,-0.1463386,0.5795709,0.3080814,0.37409666,-0.29122517,0.02110691,0.025907528,-0.02501284,-0.3027313,0.10514589,-0.111882016,-0.017369786,0.040452108,0.20491801,0.25348318,-0.007782729,0.057302423,-0.14054163,-0.0071851895,0.16050623,0.0767374,0.31553695,-0.37209985,0.11661712,0.15034905,-0.45979202,-0.022089118
butylbenzene,Aromatic,10,Dynamic,0.79,0.42,0.128,0.114,0.844,0.794,Experimental,182.0,214.0,VDNSExpansion,TransportPolynomial,Wilhoit,0.30383638,0.24942237,0.55861634,0.12305882,-0.21673276,0.05638021,0.001265234,0.07514823,-0.31269643,-0.17324416,0.663769,0.5634748,-0.0076611005,0.05443601,-0.6302402,-0.46538937,-0.033392325,0.35363904,-0.52012485,-0.32390514,-0.041700125,0.29248062,0.6122419,-0.16006076,0.21354073,0.19501464,-0.23643869,0.14984372,-0.5190278,-0.20526122,-0.32446855,0.24248959,-0.10108895,-0.17234899,0.3642516,-0.31213877,0.42554724,0.102235205,0.04493783,-0.074101605,-0.036170617,0.5023652,-0.19693954,-0.51192516,-0.14000364,0.13306218,-0.116021276,0.26454234,0.15881304,0.20107324,-0.02455207,0.2633106,-0.33860537,-0.068555415,0.37612447,0.07829436,0.11284054,-0.65867645,0.1196743,0.27052966,0.22182475,-0.23371851,-0.24403024,-0.19453287,-0.15251607,0.0055907867,0.2611087,0.17326719,-0.10034115,0.04080638,-0.24141587,0.16726673,0.35545924,-0.33587778,-0.11240214,0.22037596,0.85511273,0.27342686,-0.24323446,-0.07339838,0.10776961,0.55368084,0.021691876,0.07067831,-0.20243967,-0.06509925,0.35663125,0.16486041,-0.19055289,0.34076068,0.050573733,-0.12723054,-0.25849742,-0.16590491,0.39258465,-0.08744962,-0.43511912,-0.30334976,0.2180828,0.026826294,-0.4786915,-0.15058146,0.66155905,0.35072675,0.4748918,-0.29022405,0.0766887,0.037692737,-0.07149581,-0.38690826,0.16175179,-0.08604393,-0.074385546,0.015257351,0.26449224,0.20179045,0.05393717,0.047794804,-0.1664902,-0.013951402,0.1475185,0.1299129,0.34954146,-0.47127402,0.13950033,0.16546331,-0.46794033,-0.028156757
cis-decahydro-naphthalene,Cyclic Paraffin,10,Dynamic,2.23,0.92,0.134,0.123,0.882,0.837,Experimental,178.0,219.0,VDNSExpansion,TransportPolynomial,Wilhoit,0.33482742,-0.023221623,0.6059502,-0.27180177,-0.31643072,-0.0012377223,0.12603107,0.33938903,-0.5153822,-0.13750528,0.7730924,0.8358162,-0.5090025,0.36450547,-0.61841995,-0.6596141,0.33189607,0.35274377,-0.56449956,-0.5056377,0.0762252,-0.0135488715,0.72380984,-0.09152513,0.6003413,-0.13434945,-0.030942291,0.29924348,-0.19756113,-0.8080978,-0.32605648,0.28960803,0.13532871,-0.61974996,0.007828296,-0.0045596682,0.4397383,-0.035132017,-0.03334045,-0.34114698,-0.12201245,0.55564386,-0.41319036,-0.9826476,0.05760334,0.07511372,-0.3705413,0.4293192,0.5695544,0.7481699,-0.34841123,0.62344235,-0.2833873,-0.15596077,0.29809687,0.19365957,-0.05973741,-0.7727887,0.5454647,0.47003013,0.4558298,0.042956147,-0.61071426,-0.25280675,-0.14502501,0.28003064,0.23937729,0.36970615,-0.37650794,0.39029694,0.085366726,0.26729372,0.7020041,-0.4079233,0.201795,0.20739785,0.515479,0.3743682,0.040064007,0.31007525,0.15644862,0.26902953,-0.054808144,0.15290649,-0.09571288,-0.25319445,0.51099145,-0.2370961,-0.030494621,0.024838889,0.19707043,-0.3566651,0.04145915,-0.24955322,0.22317238,0.3052509,-0.43595785,-0.58389145,0.005173546,0.23749559,-0.59622663,0.43328544,0.37829256,0.43944666,0.87851244,-0.14452122,0.19817817,-0.23755018,-0.22076632,-0.34997097,-0.020143261,0.05693496,-0.23947337,0.09565623,0.3357924,-0.040089555,0.33463368,0.27049056,-0.030768504,0.10924739,0.083962284,0.2540367,0.27643418,-0.7285351,0.17055807,0.49884114,-0.27929452,-0.17682393
"1,1'-bicyclopentyl",Cyclic Paraffin,10,Dynamic,1.12,0.56,0.117,0.108,0.85,0.805,Experimental,186.0,224.0,VDNSExpansion,TransportPolynomial,PolynomialHC,0.3348274,-0.023221625,0.6059502,-0.27180177,-0.31643075,-0.0012377246,0.12603106,0.33938903,-0.5153822,-0.13750528,0.7730924,0.8358162,-0.5090025,0.36450547,-0.61841995,-0.6596141,0.33189607,0.3527438,-0.56449956,-0.5056377,0.0762252,-0.013548868,0.72380984,-0.09152513,0.6003413,-0.13434945,-0.030942291,0.29924348,-0.1975611,-0.8080977,-0.32605648,0.28960803,0.13532871,-0.61974996,0.007828294,-0.0045596724,0.4397383,-0.035132017,-0.033340454,-0.34114698,-0.12201244,0.55564386,-0.41319036,-0.9826476,0.05760336,0.07511373,-0.3705413,0.42931917,0.5695544,0.74816996,-0.34841123,0.62344235,-0.28338727,-0.15596077,0.29809687,0.19365957,-0.05973741,-0.7727888,0.5454647,0.47003013,0.4558298,0.04295615,-0.61071426,-0.25280675,-0.14502501,0.28003064,0.23937729,0.36970618,-0.3765079,0.39029697,0.085366726,0.26729372,0.7020041,-0.4079233,0.201795,0.20739783,0.515479,0.3743682,0.04006402,0.31007525,0.15644862,0.2690295,-0.054808144,0.15290649,-0.09571288,-0.25319445,0.51099145,-0.2370961,-0.0304946,0.024838893,0.19707045,-0.3566651,0.041459147,-0.24955322,0.22317238,0.3052509,-0.43595782,-0.58389145,0.005173544,0.23749557,-0.59622663,0.43328544,0.37829253,0.43944666,0.87851244,-0.14452122,0.19817817,-0.23755018,-0.22076632,-0.34997097,-0.020143261,0.05693496,-0.23947337,0.09565623,0.3357924,-0.04008956,0.33463374,0.27049056,-0.030768493,0.10924739,0.08396231,0.2540367,0.27643418,-0.7285352,0.17055807,0.49884114,-0.27929455,-0.17682396
pentylcyclopentane,Cyclic Paraffin,10,Dynamic,0.856,0.45,0.125,0.115,0.776,0.729,Experimental,221.0,259.0,VDNSExpansion,TransportPolynomial,Wilhoit,0.32173702,-0.0059331316,0.5430458,-0.23296914,-0.27880338,0.03688439,0.12541758,0.27700233,-0.45702323,-0.16177568,0.70358175,0.7403134,-0.48251635,0.31017485,-0.64175147,-0.62662494,0.2690568,0.30343542,-0.55057776,-0.5011814,0.07231998,-0.0069606034,0.7622011,-0.08507696,0.594367,-0.13212325,-0.039972465,0.29381356,-0.24559316,-0.7619749,-0.27746153,0.28682324,0.12993814,-0.58530027,0.022726564,-0.050889198,0.45074305,0.009233302,-0.025234094,-0.27606612,-0.085880294,0.4982063,-0.38340983,-0.9407591,0.0015343428,0.11713826,-0.2832481,0.41627443,0.5273388,0.67580724,-0.366257,0.609074,-0.28876686,-0.1440396,0.3178854,0.18279934,-0.016741715,-0.76322365,0.5063597,0.43197575,0.46231803,-0.0006452814,-0.528413,-0.2492743,-0.14046219,0.28065267,0.25505075,0.32121202,-0.39447358,0.39572877,0.05100406,0.2487354,0.71612865,-0.32401708,0.1650326,0.20708933,0.5304114,0.36474788,0.0052801045,0.245908,0.19786109,0.31979522,-0.121287495,0.07489581,-0.089105636,-0.18755522,0.4728089,-0.18012951,-0.07278649,0.06333341,0.18155187,-0.30904597,0.07454948,-0.2800831,0.17339899,0.26177087,-0.43326178,-0.54824704,-0.010161742,0.2446704,-0.54278,0.38069406,0.40081388,0.4266269,0.81650054,-0.18466234,0.14603285,-0.19609973,-0.19428526,-0.35899442,-0.042850163,0.03067114,-0.23772505,0.057474356,0.3397486,-0.023371002,0.3357267,0.2908023,-0.07386688,0.09956701,0.060551815,0.2620448,0.26946208,-0.7099431,0.19929595,0.47792274,-0.27061564,-0.14944622
