Thermal_Conductivity_40C,Thermal_Conductivity_100C,Density_40C,Density_100C,Heat_Capacity_40C,Heat_Capacity_100C,Viscosity_40C,Viscosity_100C,SELFIES
0.183,0.168,1.045,0.978,5.468060141,5.564520407,0.431782416,-0.248461359,[C][C][O][C][O][C][O][C][O][C][C]
0.172,0.159,1.24,1.17,5.463831805,5.59471138,1.30833282,0.198850859,[C][Branch1][C][C][=Branch1][C][=O][O][C][C][O][C][C][O][C][Branch1][C][C][=O]
0.158,0.147,0.966,0.909,5.564520407,5.666426688,0.39877612,-0.400477567,[C][O][C][C][O][C][C][O][C][C][O][C]
0.203,0.108,0.994,0.938,5.624017506,5.726847748,0.955511445,0.173953307,[C][C][O][C][O][C][O][C][O][C][O][C][C]
0.137,0.127,0.947,0.894,5.303304908,5.468060141,0.457424847,-0.261364764,[C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C]
0.167,0.156,0.978,0.931,5.267858159,5.283203729,0.444685821,-0.463624022,[C][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.128,0.114,0.844,0.794,5.204006687,5.365976015,-0.235722334,-0.867500568,[C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.134,0.123,0.882,0.837,5.18178355,5.38907173,0.802001585,-0.083381609,[C][C][C][C@@H1][C][C][C][C][C@@H1][Ring1][=Branch1][C][Ring1][#Branch2]
0.117,0.108,0.85,0.805,5.225746674,5.411646052,0.113328685,-0.579818495,[C][C][C][C][Branch1][Ring2][C][Ring1][Branch1][C][C][C][C][C][Ring1][Branch1]
0.125,0.115,0.776,0.729,5.398162702,5.556828062,-0.155484903,-0.798507696,[C][C][C][C][C][C][C][C][C][C][Ring1][Branch1]
0.124,0.115,0.784,0.737,5.393627546,5.560681631,-0.040821995,-0.673344553,[C][C][C][C][C][C][C][C][C][C][Ring1][=Branch1]
0.13,0.12,0.725,0.678,5.438079309,5.587248658,-0.46203546,-1.078809661,[C][C][C][C][C][C][C][C][C][=C]
0.135,0.124,0.73,0.683,5.493061443,5.59471138,-0.356674944,-1.021651248,[C][C][C][C][C][C][C][=C][C][C]
0.123,0.112,0.721,0.672,5.509388337,5.655991811,-0.616186139,-1.237874356,[C][C][C][C][Branch1][Ring2][C][C][C][C][C][C]
0.136,0.126,0.811,0.764,5.568344504,5.710427017,2.014903021,0.322083499,[C][C][C][C][C][C][C][Branch1][Ring2][C][C][C][O]
0.204,0.191,1.093,1.037,5.669880923,5.771441123,1.098612289,0.262364264,[C][=Branch1][C][=C][O][C][C][O][C][C][O][C][C][O][C][=C]
0.178,0.164,0.869,0.818,5.683579767,5.796057751,0.693147181,-0.051293294,[C][Branch1][Ring1][C][C][O][C][C][O][C][C][O][C][C][C]
0.197,0.183,1.058,0.998,5.736572297,5.840641657,1.029619417,0.231111721,[C][C][O][C][C][O][C][C][O][C][C][O][C][C]
0.126,0.111,0.715,0.668,5.768320996,5.872117789,-0.356674944,-0.994252273,[C][C][C][C][C][C][C][C][C][C]
0.16,0.156,0.993,0.938,5.786897381,5.886104031,0.88376754,-0.020202707,[C][O][C][C][O][C][C][O][C][C][O][C][C][O][C]
