Params,Test MSE,Test R2,Train Time
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.34628395054818406,0.6276070125580109,0.8531317710876465
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 4, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.31226453612399735,0.6641914148913994,0.7354178428649902
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 5, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.28929123693719433,0.6888968495557235,1.232140064239502
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 6, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.28286988154013865,0.6958023608159214,2.118730306625366
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 10, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.28080001663497645,0.6980282889145655,6.892414093017578
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 20, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.2800027644111183,0.6988856521764704,9.789976358413696
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 50, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.2800027644111183,0.6988856521764704,9.916604042053223
"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 100, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.2800027644111183,0.6988856521764704,9.437542200088501
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.1264453752266313,0.8640209257335578,0.2618429660797119
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.1179887087380947,0.8731152059982983,0.45285892486572266
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 5, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.10949532531400644,0.8822489715735711,0.7832186222076416
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 6, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.12032667564634932,0.8706009616039878,1.2925503253936768
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 10, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.14004519073752128,0.8493957144907528,5.245096206665039
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 20, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.14882918867948194,0.8399494227116718,8.358736038208008
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 50, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.14882999933713312,0.8399485509322433,8.24530839920044
"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 100, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.14882999933713312,0.8399485509322433,8.275148630142212
"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.12098618873185155,0.8698917227040086,0.24773812294006348
"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 4, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.1036124343395335,0.8885754193956877,0.41918063163757324
"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 5, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.10001607188989657,0.8924429395462011,0.6856815814971924
"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 6, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.12016547507196945,0.8707743163418428,1.1250319480895996
"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 10, 'tree_method': 'hist', 'use_label_encoder': False, 'eval_metric': 'rmse'}",0.14610850069748493,0.8428752444943721,4.411821603775024
