params,dataset_size,avg_val_score,training_time
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.037165641784668
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.911176919937134
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,17.924401998519897
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,17.889405250549316
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.01420760154724
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.98807191848755
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,17.92120051383972
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,18.142334699630737
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,17.949718475341797
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.9992458820343
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,17.956896543502808
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,17.948235034942627
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,17.86619997024536
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.978378772735596
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.031219244003296
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.001}",0.99,12.40281242291824,18.130422353744507
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.70018458366394
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.405192852020264
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.472140550613403
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.345122337341309
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.570823192596436
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.609420537948608
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.757407188415527
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.839858531951904
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.555827617645264
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.710567235946655
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.687649250030518
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,15.468151807785034
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.606557369232178
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.544121265411377
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.479683637619019
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 100, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 0.001}",0.99,12.40281242291824,15.515515327453613
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,17.98616123199463
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.93419051170349
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 200, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,17.881410837173462
