optimizer,dense_units,num_layers,epochs,batch_size,data_size,avg_val_score
adam,16,1,1,8,0.2,8.338129219996251
adam,16,1,1,16,0.2,9.00123020953004
adam,16,1,1,32,0.2,9.760092358605352
adam,16,1,1,64,0.2,11.248928098084825
adam,32,1,1,8,0.2,9.38769513907155
adam,32,1,1,16,0.2,8.891889384612409
adam,32,1,1,32,0.2,9.350289854125597
adam,32,1,1,64,0.2,10.750153690635006
adam,16,1,1,8,0.4,8.76538768331093
adam,16,1,1,16,0.4,9.660637148474585
adam,16,1,1,32,0.4,8.837747011136367
adam,16,1,1,64,0.4,9.642459466943034
adam,32,1,1,8,0.4,8.914325012664289
adam,32,1,1,16,0.4,9.00300211426044
adam,32,1,1,32,0.4,8.658288153419836
adam,32,1,1,64,0.4,8.847312500719969
adam,16,1,1,8,0.6,8.413430830068993
adam,16,1,1,16,0.6,8.3403366198655
adam,16,1,1,32,0.6,8.963089468671289
adam,16,1,1,64,0.6,8.918233825771225
adam,32,1,1,8,0.6,8.560944510961091
adam,32,1,1,16,0.6,8.576384557896521
adam,32,1,1,32,0.6,8.411555609565468
adam,32,1,1,64,0.6,8.712040992659734
adam,16,1,1,8,0.8,8.11328841736423
adam,16,1,1,16,0.8,8.258428148069028
adam,16,1,1,32,0.8,8.322118356804806
adam,16,1,1,64,0.8,8.516598416503314
adam,32,1,1,8,0.8,9.115420361899385
adam,32,1,1,16,0.8,8.445879966951722
adam,32,1,1,32,0.8,8.44087442457589
adam,32,1,1,64,0.8,8.530906706996259
