SMILES,Thermal_Conductivity_100C
CCCCCCCCC(CCCCCCCC)CCc1ccccc1,0.123
C(CCCCCCCCCCCC)(=O)OCCCC,0.15
C1(=CC=CC=C1)C(CCC)CCCCCCCCCC,0.143
CC(OCCOCCOCCOCCOCCOC)C,0.225
CCC(CC)CC1CCCCC1,0.113
Cc1cccc(Cc2ccccc2)c1,0.136
C(C=1C(C(=O)OCC(CC)CC)=CC=CC1)(=O)OCC(CC)CC,0.143
C(CCCCC(=O)OCCCCCCCC)(=O)OCCCCCCCC,0.17
CC(C1CCCCC1)c2ccccc2,0.128
C(COCCOCCOCCOCCOCCCCC)O,0.248
CCCCCCCCCCCCC(CCCCCCCCCCC)CCCCCCCCCCCC,0.152
CCCCCCCCCCCCCCCCCCCCCCCC,0.147
C1(=CC=CC=C1)C(=CCCCCCCCCCCCC)C1=CC=CC=C1,0.159
C(CCCC)OCCOCCOCCO,0.178
CCCCCCCCCCC,0.116
CCCCCCCCCC(CCCCCCCC)c1ccc(C)cc1,0.141
C(CCCCCCCCCCCCC)(=O)OC(CCCCCC)C,0.152
C(CCC)C=1C=C2CCCCC2=CC1CCCC,0.109
C(COCCOCCOCCOCCOCCO)O,0.18
CCCCCCCCCCCCCCCCCCc1ccc(C)cc1,0.144
CCCCCCCCCCC(CCCCCCCCCC)c1cccc2CCCCc12,0.12
C(CCCCCCC)C1CCCC2=CC=CC=C12,0.134
C(C)OCCOCCOCCOCCOCC,0.199
OCCOCCOCCOCCOCCOCCO,0.18
C(C)C(CCCCCCCCCC)(CCCCCCCCCCCC)C,0.123
CCCCCCc1ccc2cc(CCCCCC)ccc2c1,0.197
C(CCCCCCCCCCCCCCCCC)C1CC2=CC=CC=C2CC1,0.143
CC(CC(=O)OC(CC(C)(C)C)CCCCC)(C)C,0.104
CCCCCCCCc1cccc2c(C)ccc(C)c12,0.186
C(CCCCCC)C=1C=C2CCCCC2=CC1,0.122
CCCC(CCC)CCCCCC(CCC)CCC,0.121
CC1=C(C=C(C=C1)CCCCCCCCCCCCCCCC)C,0.127
C(CCCCCCCCC)C(CCC1CCCCC1)CCC1CCCCC1,0.128
CC(C)(CCCCCCCCCCCCC(C)(C)C)C,0.108
C(CCCCCC)C(=CCCCCCC)CCCCCCC,0.135
CCCCCCCCCCCCCCCCC(CCC)c1ccccc1,0.157
CCCCCCCCCCC(CCCCCCCCCC)c1ccccc1,0.142
