SMILES,Viscosity_40C
CC(=C(C(C)C)C1=CC=CC2=CC=CC=C12)C,2.48490665
C1CCC(C1)C(C2CCCC2)C3CCCC3,1.722766598
C(C)C(CCCCCC)(C)C1=CC=CC2=CC=CC=C12,3.713572067
CCCCCCCCCCCCCC(=O)OC(C)C,1.258347347
C(C)OCCOCCOCCOCCOCC,1.704748092
OCCOCCOCCOCCOCCOCCO,3.681451938
CCCCCCCCC(CO)CCCCCC,2.7631695
C(CCCCCCCCCCCCC)(=O)OCCCCCCC,1.916922612
C(CCCCCCCCC(=O)OCCCC)(=O)OCCCC,2.564949357
CCCCCCCCCCC(=CCCCCCCCCC)c1ccccc1,2.16280565
CCCCCCCCCCCCC1C(CCC1C2CCCC2)C3CCCC3,3.200711854
C(CCCCCCCCCCCCCCC)(=O)OCCCCCCC,2.186051277
CCCCC(CCCC)CCCC,0.113328685
CCCCCCC(C)c1cccc2ccccc12,2.051124368
CCCCCCCCCCC(CCCCC)CCCCCCCCCC,2.048982334
C(CCCc1ccccc1)CCc2ccccc2,1.74745921
C(CCCCC)C(=CCCCCC)CCCCCC,0.587786665
CCCCC(CCCC)(CCCC)CCCC,1.420695788
CCCCCCCCCCCC(CCCC)CCCC,1.504077397
CC(C)CC(CC(CCCCCCCCCCCCCCC)C)C,1.908059925
CCCCCCC(CCC)c1ccc2ccccc2c1,2.591096821
CCCC(=O)c1ccccc1,0.444685821
CCCCCCCC1CCCC1,0.294161039
C(CCCC(=O)OCCCCCCCCCCCC)(=O)OCCCCCCCCCCCC,3.891820298
CC(C)CCC(CC(CCC(C)C)(C)C)(C)C,1.029619417
CCCCCCc1cc2CCCCc2cc1CCCCCC,2.16736084
C1CCC(C1)C2CCC(C2)C3CCCC3,1.08180517
CC(C)C(C(C)C)C1=CC=CC=C1,0.993251773
C(C)C(COCCCCCCOCC(CCCC)CC)CCCC,3.401197382
C(COCCOCCOCCOCCOCCO)O,3.411147713
C=1(C(=CC=CC1)C(=O)OCCOCCCC)C(=O)OCCOCCCC,2.772588722
CCCCCCCCCCCCCCCCCC=C,1.181727195
C(CCCCCCCCC(=O)OCCCCCCCCCC)(=O)OCCCCCCCCCC,3.761200116
CCCCCCCCCCCCCCCCCCCCCCCC,1.722766598
C=CCCCCCCCCCCCCCCC=C,1.16315081
CCCCCCCCc1cc2cc(C)ccc2cc1C,1.696041206
C1(=CC=C(C=C1)C(=O)OCCCCCC)C(=O)OCCCCCC,3.828641396
CCC1=CC=CC2=C(C=CC=C21)C,0.955511445
CCCCC1CCCCC1,-0.040821995
CCC(C)c1ccccc1c2ccccc2,1.912952979
CCCCCC(C)(CC)CCCC,0.227669295
CCCCCCCCCCCCCCCCCC(CC)c1ccccc1,2.368372834
CCCCC(CCCCCCCCC(CCCC)c1ccccc1)c2ccccc2,3.367914604
CCCCCCCCC(CCC)c1ccc2ccccc2c1,2.762913316
C(CCCCCCCCCCC)C1CCCC2=CC=CC=C12,3.218875825
C(CCCCCCCCCCCC)(=O)OCCCC,1.360976553
CCc1ccccc1c2ccccc2,1.212494392
C1(=CC=CC=C1)CCCCCCC1=CC=CC=C1,1.785070481
CCCCC(c1ccccc1)c2ccccc2,1.797159861
CCCCCCCCCC=C,-0.248461359
CCCCCCCCCCC(CCCCCCCCCC)c1ccccc1,2.501435952
CCCCCCCCc1ccc2ccccc2c1,1.717125718
CC(CC(C)(C)C(C)(C)C)C(C)(C)C,1.088561953
C(CCC(=O)OCCCCCCCCC)(=O)OCCCCCCCCC,3.17805383
C(CC)C1=CC=CC2=CC=CC=C12,1.064710737
CCCCCCCCC(CCCCCCCC)CCC1CCCCC1,2.459588842
C1CCC(CC1)CCC(CCCC2CCCC2)CCC3CCCCC3,4.030694535
CCCCCCCC(CCCCCC)CCCCCCC,1.472472057
CC1=C(C=C(C=C1)CCCCCCCCCCCCCCCC)C,1.386294361
CCCCCCCCCCC(CCCCCCCCCC)C1CCCC1,2.298577072
CCCCCCC(CCC)(CCC)CCCC,1.232560261
C(CCCCCCCCCCCCCCC)C1C(CC(C(C1)C)C)C,1.871802177
CCCC(CCC)CCCCCC(CCC)CCC,1.079979777
C(COCCOCCOCCOCCOCCCCC)O,3.295836866
CC(C)(C1CCCCC1)C2CCCCC2,2.166335724
CCCCCc1cccc2ccccc12,1.597365331
C1(CCCCC1)C1C(CCCC1)C1CCCCC1,3.583518938
C1CC[C@@H]2CCCC[C@@H]2C1,0.802001585
CCCCCCCCCCCCCCCCC(CCC)c1ccccc1,2.435366204
CCCCCCCCCCCCCCCC(CCCC)CCCCCC,2.138889
C(CCC)OC(C)C1=CC=C(C=C1)OC,1.931521412
C(CCCCCC)C(C(=O)OC)CCCCCCC,1.902107526
C1CCC(C1)c2ccccc2C3CCCC3,2.798621899
CCCCCCCCCCCCCCCC=C,0.867100488
CCCCOC(=O)c1ccccc1C(=O)OCCCC,2.308926941
COCCOCCOCCOC,0.39877612
C1(CCCCC1)CCCCCC1CCCCC1,1.916922612
C(CCCCCCCCCCCCCC)(=O)OCCCC,1.667706821
CCCCCCCCCCCCCCCc1cccc2CCCCc12,2.794839331
C(CC)C1C(CCCC1)C1CCCCC1,1.690069985
C(CCCCCCCCCC)C(CCCCCCCCCCCC)CCCCCCCCCCCC,2.783157674
CCCCCCCCCCC1CCCC(CCCCCCCCCC)C1,2.482324151
CC1=CC=C(C(=C1)C(=CCCCCCCCCC)CCCCCCCCCC)C,1.526056303
CCCCCCCCCCCCCCCCCC(=O)OC(C)C,1.730593034
CCCCCCCCCCCCCCCCCCCCCCCCCCCC,2.165619238
CCCCCC(CCCCC)CCCCCC(CCCCC)CCCCC,2.38923974
